United States	B.1.1.529.5.3.1.1.1.1.1.12(BQ.1.12)	0.0106925711090922	0.00342207813472181	0.00074386312918423	0.000168140700137875	0	8.60215053763441E-05	0.000150229099376549	0.000221336874723329
United States	XBB.1.16.6(XBB.1.16.6)	0	0	0	0	0.00246478873239437	0.0194408602150538	0.0423646060241869	0.0621956617972554
United States	XBB.1.9.2.5.1(EG.5.1)	0	0	0	0.000437165820358476	0.00482897384305835	0.0355268817204301	0.0767670697814167	0.106241699867198
United States	XBB.2.3.3.1(GJ.1)	0	0	0	0	0.000754527162977867	0.0110967741935484	0.0302711635243747	0.0314298362107127
United States	XBB.1.16.11(XBB.1.16.11)	0	0	0	0	5.03018108651911E-05	0.00111827956989247	0.0123939006985653	0.0203629924745463
United States	XBB.1.42(XBB.1.42)	0	0	0	0.000100884420082725	0.000251509054325956	0.00533333333333333	0.0105160369563584	0.0123948649845064
United States	XBB.1.9.2.5.1.1(EG.5.1.1)	0	0	0	0	5.03018108651911E-05	0.00473118279569892	0.0348531510553594	0.0533421868083223
United States	XBB.1.9.1.1.5.1(FL.1.5.1)	0	0	0	0	0.000100603621730382	0.00232258064516129	0.034477578306918	0.0732625055334219
United States	XBB.1.5.28(XBB.1.5.28)	2.3295361893447E-05	4.91207387759112E-05	0.00123977188197372	0.00433803006355718	0.00789738430583501	0.00705376344086021	0.0102906933072936	0.0104028331119965
United States	XBB.1.9.2.6.1(EG.6.1)	0	0	0	3.36281400275751E-05	0.000100603621730382	0.00498924731182796	0.015323368136408	0.0159362549800797
United States	XBB.1.16.1.2.1(FU.2.1)	0	0	0	0.000100884420082725	0.000352112676056338	0.00266666666666667	0.00653496582287989	0.0104028331119965
United States	XBB.2.3.10.1(GE.1)	0	0	0	3.36281400275751E-05	0.00085513078470825	0.00550537634408602	0.00991512055885225	0.0143868968570164
United States	XBB.1.5.70(XBB.1.5.70)	0	0	0	0	0.000150905432595573	0.00189247311827957	0.00908886051228123	0.0166002656042497
